id,age,gender,percentage
1731757653625114,55-64,female,0.019377
1731757653625114,45-54,female,0.033321
1731757653625114,55-64,male,0.016298
1731757653625114,25-34,male,0.178921
1731757653625114,25-34,female,0.161536
1731757653625114,55-64,unknown,0.000543
567849473784893,45-54,female,0.089508
567849473784893,35-44,unknown,0.001018
567849473784893,25-34,unknown,0.000582
567849473784893,18-24,unknown,0.000873
567849473784893,55-64,unknown,0.000727
567849473784893,45-54,unknown,0.001236
567849473784893,65+,male,0.014979
567849473784893,55-64,male,0.030975
567849473784893,35-44,female,0.136334
567849473784893,18-24,male,0.099324
567849473784893,45-54,male,0.047844
567849473784893,18-24,female,0.105722
567849473784893,65+,female,0.032938
567849473784893,35-44,male,0.071984
567849473784893,25-34,male,0.113939
567849473784893,55-64,female,0.067113
567849473784893,25-34,female,0.184614
567849473784893,65+,unknown,0.000291
769090180169932,45-54,male,0.150943
769090180169932,35-44,male,0.169811
769090180169932,18-24,female,0.075472
769090180169932,25-34,female,0.188679
769090180169932,55-64,male,0.056604
769090180169932,35-44,female,0.037736
769090180169932,25-34,male,0.150943
769090180169932,55-64,female,0.037736
769090180169932,65+,male,0.018868
769090180169932,18-24,male,0.075472
769090180169932,45-54,female,0.037736
571397596771447,45-54,male,0.164142
571397596771447,65+,female,0.03534
571397596771447,25-34,unknown,0.001553
571397596771447,45-54,unknown,0.003495
571397596771447,18-24,female,0.007961
571397596771447,55-64,unknown,0.002654
571397596771447,35-44,unknown,0.004078
571397596771447,65+,unknown,0.002006
571397596771447,65+,male,0.09877
571397596771447,25-34,female,0.011327
571397596771447,45-54,female,0.022201
571397596771447,55-64,female,0.033528
571397596771447,35-44,female,0.014045
571397596771447,25-34,male,0.182654
571397596771447,18-24,male,0.094757
571397596771447,55-64,male,0.150615
571397596771447,35-44,male,0.169773
571397596771447,18-24,unknown,0.0011
2530702150300577,18-24,unknown,0.000286
2530702150300577,45-54,female,0.047183
2530702150300577,18-24,female,0.007435
2530702150300577,65+,unknown,0.001716
2530702150300577,55-64,unknown,0.002288
2530702150300577,35-44,female,0.039748
2530702150300577,45-54,unknown,0.003717
2530702150300577,35-44,unknown,0.002574
2530702150300577,45-54,male,0.171576
2530702150300577,65+,female,0.056334
2530702150300577,25-34,female,0.026022
2530702150300577,35-44,male,0.146697
2530702150300577,18-24,male,0.060909
2530702150300577,65+,male,0.09837
2530702150300577,55-64,male,0.134687
2530702150300577,25-34,male,0.145267
2530702150300577,55-64,female,0.054046
2530702150300577,25-34,unknown,0.001144
561771974599501,55-64,female,0.154606
561771974599501,65+,female,0.142418
561771974599501,35-44,female,0.176617
561771974599501,45-54,female,0.159045
561771974599501,18-24,female,0.14951
561771974599501,25-34,female,0.217804
1006080849725922,55-64,female,0.062092
1006080849725922,65+,unknown,0.001099
1006080849725922,25-34,unknown,0.001135
1006080849725922,55-64,unknown,0.001206
1006080849725922,35-44,unknown,0.002305
1006080849725922,45-54,male,0.092092
1006080849725922,18-24,unknown,0.000816
1006080849725922,55-64,male,0.058191
1006080849725922,65+,male,0.036809
1006080849725922,45-54,female,0.076702
1006080849725922,18-24,female,0.088085
1006080849725922,35-44,female,0.091099
1006080849725922,25-34,male,0.138156
1006080849725922,18-24,male,0.105957
1006080849725922,25-34,female,0.103582
1006080849725922,35-44,male,0.103156
1006080849725922,65+,female,0.03539
1006080849725922,45-54,unknown,0.002128
2198258700479233,65+,female,0.120043
2198258700479233,25-34,male,0.071195
2198258700479233,18-24,unknown,0.000315
2198258700479233,55-64,unknown,0.001951
2198258700479233,35-44,unknown,0.001826
2198258700479233,18-24,female,0.017122
2198258700479233,25-34,female,0.04205
